product,tweet_poster,tweet_mention,tweet_date,tweet_text,num_comments,num_retweets,num_likes,num_views,,,
Cisco SPA 501G IP Phone,SecuritySurveillance,@Thebond5,"Nov 18, 2011",…http://100videocable.bestsecuritysurveillance.com/cisco-spa-501g-8-line-ip-phone/… Cisco SPA 501G 8-Line IP Phone,0,0,0,0,,,
"Wilson Jones Hanging View Binder, White, 1""",Anna Dechart,@AnnaDechart6507,"Feb 4, 2013","Wilson Jones 1"" White Hanging View Binders - 12pk: Wilson Jones 1"" White Hanging View Binders - 12pk Wilson Jone... http://amzn.to/IUKRqb",0,0,0,0,,,
"Wilson Jones Hanging View Binder, White, 1""",Eleonora Abridge,@Abridge667,"Oct 20, 2011","Wilson Jones 1"" White Hanging View Binders - 12pk: Wilson Jones 1"" White Hanging View Binders - 12pk Wilson Jone... http://amzn.to/qOe4D2",0,0,0,0,,,
"Wilson Jones Hanging View Binder, White, 1""",David Kelley,@blockchaintime,"Dec 4, 2011","#stuff Wilson Jones 1"" White Hanging View Binders - 12pk: Wilson Jones 1"" White Hanging View Binders - 12pk Wils... http://adf.ly/41L84",0,0,0,0,,,
"Wilson Jones Hanging View Binder, White, 1""",Tim Scala,@ScalaTim,"Mar 22, 2012","Wilson Jones Hanging View Binder with DublLock Round Rings, 1 Inch Capacity, Letter Size, White (W393-14W): Wils... http://tinyurl.com/6ognt9v",0,0,0,0,,,
"Wilson Jones Hanging View Binder, White, 1""",Alex Kein,@cinema_fan,"Aug 25, 2012","Wilson Jones Hanging View Binder with DublLock Round Rings, 1 Inch Capacity, Letter Size, White (W393-14W): Wils... http://tinyurl.com/9h5zmx2",0,0,0,0,,,
"Wilson Jones Hanging View Binder, White, 1""",Sylvia Tarty,@Sylviahoe4158,"Feb 5, 2013","Wilson Jones Hanging View Binder with DublLock Round Rings, 1 Inch Capacity, Letter Size, White (W393-14W): Wils... http://amzn.to/11FdwvB",0,0,0,0,,,
"Wilson Jones Hanging View Binder, White, 1""",Best Read More,@bkkpay,"Nov 7, 2012","Hanging View Binder With DublLock Round Rings, 1″ Capacity, WhiteFrom Wilson Jones Price compare: Looking for ... http://bit.ly/VB3uZv",0,0,0,0,,,
Newell 318,Fanáticos,@fanaticosfutbo,"Apr 24, 2021", La #AFA publicó un ranking oficial de socios de todos los clubes del fútbol argentino: Boca: 213.318 socios. River: 100.336 socios. Independiente: 85.962 socios. Racing: 74.565 socios. Newell's: 62.957 socios.,87,882,4778,0,,,
Newell 318,DCRealtyBytes,@DCRealtyBytes,"May 4, 2013","#SilverSpring #MD 8045 Newell St #318, Silver Spring, MD 20910, $375,000 2 beds, 2 baths http://dlvr.it/3KR2Nx",0,0,0,0,,,
Newell 318,Justin Schw-urtis,@JSchwurtis,"Sep 10, 2013",@TCODLincoln is jamming on guitar and I am filling out our room mate agreement. Yeah it's gonna be a good year  #Newell318 #senioryear,0,0,2,0,,,
Newell 318,Paralegal Services of Florida,@Paralegals360,"Dec 14, 2022","@Finess2tymesYou’ve been working hard; We have too…..Your  Contracts are ready.Give me a call 407-318-7067 (Paul T Newell, Chairman)",0,0,0,0,,,
Newell 318,CityView,@CityView5416,"Nov 4, 2015",No Candidate Filed for Newell Borough Constable. Voter Turnout in #NewellPA was 30.50% or 97 out of a possible 318 voters in Newell,0,0,0,0,,,
Newell 318,South Pontotoc Baseball,@DiamondSPHS,"Mar 31, 2018",SP Hitting:Hall .590 5 HR .704 OBPJohnson .372 6 2BNewell .356 10 RBITutor .318 1 HRBelcher .311 6 2B 17 RSRoss .306 4 HR 21 RBI,0,2,11,0,,,
Newell 318,Empirasign Equities,@empirasign_eq,"Jul 13, 2010",$NWL (Newell Rubbermaid Inc) $15.60 crossed 200 day moving average: $15.318 #empta #stockshttp://empirasign.com/s/1m11,0,0,0,0,,,
Newell 318,Maru Lobos,@lobos_maru,"Apr 24, 2021", La #AFA publicó un ranking oficial de socios de todos los clubes del fútbol argentino: Boca: 213.318 socios. River: 100.336 socios. Independiente: 85.962 socios. Racing: 74.565 socios. Newell's: 62.957 socios.,0,0,1,0,,,
Newell 318,Gonzalo Herrera,@lgonzaloherrera,"Aug 24, 2022","Newell's 1,318Tigre 1,310Colón 1,307Huracán 1,296Rosario Central 1,296Lanús 1,285Atlético Tucumán 1,263Barracas Central 1,241Banfield 1,219Godoy Cruz 1,153Platense 1,149Arsenal 1,131Sarmiento 1,119Central Córdoba (SE) 1,109Aldosivi 1,076Patronato 1,021",0,0,0,0,,,
Wilson Jones Active Use Binders,How To,@ipad2ipad,"Mar 31, 2011",4pc. Blue LED Interior Underdash Lighting Kit: Find A lot more Blue Goods Wilson Jones(R) Active Use Binder With... http://bit.ly/gg8nwU,0,0,0,0,,,
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Home Improvement,@improvehome,"May 8, 2010",home improvement: Imation 8GB Mini TravelDrive USB 2.0 Flash Drive http://tinyurl.com/2cjlzy7,0,0,0,0,,,
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Home Improvement,@improvehome,"May 21, 2010",home improvement: Imation 8GB Mini TravelDrive USB 2.0 Flash Drive - 8 GB - USB - External http://tinyurl.com/23batvz,0,0,0,0,,,
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Steve Bono,@TheNerds_Coupon,"Aug 5, 2010",TheNerds.Net Coupons 26% off Imation 8GB Mini TravelDrive USB 2.0 Flash Drive Old Price: $26.99  Now Only: $19.99  http://j.mp/bbyXRF,0,0,0,0,,,
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,SOHODIFFUSION.COM,@SohoDiffusion,"May 26, 2011",NEW! IMATION 8GB MINI TRAVELDRIVE USB 2-0 FLASH DRIVE : $ 25.90 http://goo.gl/fb/VOO7t,0,0,0,0,,,
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,SOHODIFFUSION.COM,@SohoDiffusion,"Aug 18, 2011",▼  IMATION 8GB MINI TRAVELDRIVE USB 2-0 FLASH DRIVE - 6.00% : $ 19.90 http://goo.gl/fb/5Fyx2,0,0,0,0,,,
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,PC Computer,@PC_Computers,"Jul 13, 2013",Imation 8GB Mini TravelDrive USB 2.0 Flash Drive 8 GB USB Ext $17.18 http://bit.ly/13WDEDN #pc #desktop,0,0,0,0,,,
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,aya brea,@styleville,"Nov 18, 2011",Imation 8GB Mini TravelDrive USB 2.0 Flash Drive 40% Price Drop - now only $15.30 http://dlvr.it/wXzZH,0,0,0,0,,,
Poly String Tie Envelopes,Dina beauty,@dinabeauty,"May 18, 2012",SMD89540 - Ultracolor Expandable Poly String Tie Envelopes: Ultracolor Expandable Poly String Tie Envelopes http://amzn.to/KWZ481,0,0,0,0,,,
Poly String Tie Envelopes,Trigger Booster,@triggerbooster,"Dec 28, 2020","Item #23708: Expandable Poly String Tie Envelopes, Letter, Side Load, Clear, 3 Per Pack #AhhfficeSupplies",0,0,0,0,,,
Poly String Tie Envelopes,Trigger Booster,@triggerbooster,"Dec 27, 2020","Item #23298: Ultracolor Expandable Poly String Tie Envelopes, Top Load, Purple, 5/Pack #AhhfficeSupplies",0,0,0,0,,,
Poly String Tie Envelopes,Trigger Booster,@triggerbooster,"Dec 28, 2020","Item #24137: Ultracolor Expandable Poly String Tie Envelopes, Side Load, Purple, 5/Pack #AhhfficeSupplies",0,0,0,0,,,
Poly String Tie Envelopes,Helga,@officeorder,"Jun 27, 2014",#2: SMD89542 - Ultracolor Expandable Poly String Tie Envelopes: SMD89542 - Ultracolor Expandable Poly String T... http://amzn.to/1ltx2oe,0,0,0,0,,,
Poly String Tie Envelopes,Helga,@officeorder,"Mar 5, 2014","#4: Wholesale CASE of 25 - Smead String Tie Closure Top-Open Poly Envelopes-Poly Envelopes,Top Load,String Clo... http://amzn.to/1kY77Cg",0,0,0,0,,,
Poly String Tie Envelopes,Dan.Rau20,@DanRau20,"Dec 7, 2022","FANWU Plastic Letter Size Envelopes with Button & String Tie Closure, 1-1/6"" Expansion, Side Load, Clear Poly Reusable File F ZINQGK2https://amazon.com/dp/B08KVSWFHM?tag=durham0b-20…",0,0,0,0,,,
Poly String Tie Envelopes,Eliza,@eliza763,"Jun 27, 2014",http://amzn.to/1ltohdL #9: SMD89542 - Ultracolor Expandable Poly String Tie EnvelopesSMD89542 - Ultracolor Ex...,0,0,0,0,,,
Poly String Tie Envelopes,Hottest Trends,@HottestTrend1,"Oct 26, 2011",SMD89540 - Ultracolor Expandable Poly String Tie Envelopes: Ultracolor Expandable Poly String Tie Envelopes http://amzn.to/tj2Qgc,0,0,0,0,,,
Poly String Tie Envelopes,Kathryne_Gerhold,@KathryneGerhold,"Nov 6, 2022",FANWU 12 Pack Assorted Colors Plastic Envelopes Poly Envelope Expandable File Document Folders with Button & String Tie Closu 3I41TFChttps://amazon.com/dp/B08GLQTHL6?tag=honolulu0b-20…,0,0,0,0,,,
Lumber Crayons,Raymond San Juan,@RaymondSanJuan9,"Dec 28, 2022","Wolverine. Used 15x20 board, soft lumber crayons, and a marker pen. #marvel #wolverine #xmen #xforce",0,0,0,29,,,
Lumber Crayons,Heritage Tools,@heritagetoolco,"Oct 22, 2019",Ran across a few boxes of unused Dixon lumber crayons last week ,0,1,5,0,,,
Lumber Crayons,JayB,@bjh1776,"Dec 23, 2022",9 years ago my oldest daughter found a cute project and asked me to build these crayon trucks as Christmas presents for her 2 younger sisters. We made it from simple 2x4 lumber. It was our secret project together. #woodworking #funproject,1,1,9,276,,,
Lumber Crayons,dumbeast HD,@dumbeast,"Apr 25, 2022",WOWthis isHORRIBLEgraphite lumber crayon rubbing 4/24/22,0,1,5,0,,,
Lumber Crayons,at the mercy of time,@mmillettthrower,"Apr 7, 2022",Just bought lumber crayons,0,0,0,0,,,
Lumber Crayons,Hitechniques Ltd,@hitechniques,"Dec 30, 2022","Wide range of accessories and consumables available from our store:- survey nails,- retro targets,- marking spray paint,- flags,- lumber crayons,and more.Order online at https://hitechniques.ie #construction #surveying #Hitechniques",0,0,1,10,,,
Easy-staple paper,Kylee Pitts,@PittsKyleeNJH,"Oct 4, 2018",Replying to @expShane,0,0,0,0,,,
Easy-staple paper,Sarah Ruse,@sassilia12,"Mar 29, 2022",Replying to @misseteaches1 and @MrTs_NQTs,0,0,3,0,,,
Easy-staple paper,John Azevedo,@aprivateye,"Apr 30, 2019",Replying to @theaurorac,2,0,1,0,,,
GE 30524EE4,Home Phones,@Home_Phones,"Jan 6, 2014",GE 30524EE4 1 Corded 3 Cordless Phones w/ Answering Machine* NEW* $73.05,0,0,0,0,,,
GE 30524EE4,Home Phones,@Home_Phones,"Jan 4, 2014",GE 30524EE4 1 Corded 3 Cordless Phones w/ Answering Machine* NEW* $73.05 http://bit.ly/1awEyoX #home #phone,0,0,0,0,,,
GE 30524EE4,Generator Watts,@GeneratorWatts,"Apr 1, 2012",GE 30524EE4 DECT 6.0 Technology 1.9GHz Corded Cordless Phone Combo 4 handsets For Sale http://emergencyelectric.generatorwatts.com/?p=36,0,0,0,0,,,
GE 30524EE4,santana horowitz,@santanaxuzhorow,"Mar 10, 2012",> GE 30524EE4 DECT 6.0 Technology 1.9GHz Corded Cordless Phone Combo Get Di …http://panasonicphonebatteries.solarpanelsgenerator.com/?p=11,0,0,0,0,,,
GE 30524EE4,santana horowitz,@santanaxuzhorow,"Mar 21, 2012",> GE 30524EE4 DECT 6.0 Technology 1.9GHz Corded Cordless Phone Comb …http://panasoniccordlessphonebatteries.solarpanelsgenerator.com/?p=11,0,0,0,0,,,
GE 30524EE4,Electronics Time,@Electronic_Time,"Dec 4, 2013",Four Handset Corded/cordless With Itad (ge30524ee4) $67.62,0,0,0,0,,,
GE 30524EE4,Electronics Today,@Now_Electronics,"Dec 21, 2013",GE 30524EE4 Corded/Cordless 4 Handset Telephone w/ Digital Answering Machine $59.99 http://bit.ly/1ht3GlF #phone #home,0,0,0,0,,,
GE 30524EE4,Electronic Gadgets,@ElectronicBuy,"Oct 3, 2013",GE Corded/Cordless 4 Handset Telephone w/ Digital Answering Machine GE-30524EE4  $87.55 http://bit.ly/157qIu0 #home #phone,0,0,0,0,,,
GE 30524EE4,Electronics Time,@Electronic_Time,"Nov 18, 2013",GE 30524EE4 1 Corded 3 Cordless Phones w/ Answering Machine* NEW* $73.05 http://bit.ly/1fNa1rn #home #phones,0,0,0,0,,,
GE 30524EE4,Electronic Gadgets,@ElectronicBuy,"Jan 3, 2014",GE 30524EE4 1 Corded 3 Cordless Phones w/ Answering Machine* NEW* $73.05 http://bit.ly/19PR6Lo #home #phone,0,0,0,0,,,
GE 30524EE4,xingau,@xingau90,"Mar 16, 2013",GE 30524EE4 1 Corded 3 Cordless Phones w/ Answering Machinehttp://novatechgadgets.com/ge30524.htmlThe... http://fb.me/1CypkWiZ2,0,0,0,0,,,
GE 30524EE4,bonnado8,@bonnado8,"Feb 17, 2012",Where To Buy ItemBrand}  GE 30524EE4 DECT 6.0 Technology 1.9GHz Corded Cordless Phone Combo Best Quality: Lookin... http://bit.ly/zCY8UV,0,0,0,0,,,
GE 30524EE4,bonnado8,@bonnado8,"Jan 22, 2012",GE 30524EE4 DECT 6.0 Technology 1.9GHz Corded Cordless Phone Combo Review: Looking Reasonable Price ForGeneral ... http://bit.ly/yCBM9H,0,0,0,0,,,
GE 30524EE4,eDealinfo.com,@eDealinfoUSA,"Nov 20, 2011",GE 30524EE4 DECT 6.0 Corded/Cordless Speakerphone w/ Digital Answering System  only $49.99:   Compare: BJs Whole... http://bit.ly/tPehTx,0,0,0,0,,,
Plantronics HL10 Handset Lifter,Hot_Compu_tech,@Hot_Compu_tech,"Aug 26, 2014",#10: Plantronics HL10 Handset Lifter #71654Plantronics HL10 Handset Lifterby Plantronics(220)Buy new: $99.99 $4...,0,0,0,0,,,
Plantronics HL10 Handset Lifter,bluetooth advertise,@blueads,"Feb 16, 2011","Plantronics HL10 Handset Lifter (Electronics) newly tagged ""handsfree"":               Plantronics HL10 Handset ... http://amzn.to/eDuZ0B",0,0,0,0,,,
Plantronics HL10 Handset Lifter,Telephones,@Telephoneacces,"Dec 30, 2011",Updated: Plantronics HL10 Handset Lifter - Plantronics HL10 Handset Lifter 60961-32 975 http://tinyurl.com/3h3dqje,0,0,0,0,,,
Plantronics HL10 Handset Lifter,Pearlieoyj3765,@Pearlieoyj3765,"Jun 8, 2012",#OnSale Plantronics HL10 - Handset Lifter for Plantronics Phon... http://fb.me/1tVwjM1JM,0,0,0,0,,,
Plantronics HL10 Handset Lifter,way of life,@shirai_ryu_,"May 4, 2017",Plantronics HL10 Handset Lifter,0,0,0,0,,,
Plantronics HL10 Handset Lifter,Diana,@tipfos,"Dec 4, 2010",Hello All!! Plantronics HL10 Handset Lifter: Plantronics HL10 Handset Lifter - 2 X 75… http://goo.gl/fb/thIIY,0,0,0,0,,,
